,Entry,Theorist,Experimentalist,Repetition,Data Collection Cycle,Mean Squared Error
0,0,BMS,random,3,0,0.3043326213257959
1,1,BMS,random,3,1,0.367118894143557
2,2,BMS,random,3,2,0.36636962376700827
3,3,BMS,random,3,3,0.41668024787509667
4,4,BMS,random,3,4,0.29903643806892394
5,5,BMS,random,3,5,0.4238301042086615
6,6,BMS,random,3,6,0.3731105121429981
7,7,BMS,random,3,7,0.29903643806892394
8,8,BMS,random,3,8,0.29903643806892394
9,9,BMS,random,3,9,0.29903643806892394
10,10,BMS,random,3,10,0.41358457490820505
11,11,BMS,random,3,11,0.413584563118633
12,12,BMS,random,3,12,0.4135788159874569
13,13,BMS,random,3,13,0.41356826754586345
14,14,BMS,random,3,14,0.413568220176386
15,15,BMS,random,3,15,0.4135681885504394
16,16,BMS,random,3,16,0.21990755980904284
17,17,BMS,random,3,17,0.21990755980904284
18,18,BMS,random,3,18,0.3825999423616247
19,19,BMS,random,3,19,0.38749992341676387
20,20,BMS,random,3,20,0.38749778030387744
21,21,BMS,random,3,21,0.38749839649716494
22,22,BMS,random,3,22,0.3784131677277597
23,23,BMS,random,3,23,0.38486105506889456
24,24,BMS,random,3,24,0.3848610114100478
25,25,BMS,random,3,25,0.38787070612864616
26,26,BMS,random,3,26,0.3861370003379269
27,27,BMS,random,3,27,0.40039769850935264
28,28,BMS,random,3,28,0.364770134185846
29,29,BMS,random,3,29,0.36874858722961235
30,30,BMS,random,3,30,0.3723066497867641
31,31,BMS,random,3,31,0.3768219777391363
32,32,BMS,random,3,32,0.35836129304979936
33,33,BMS,random,3,33,0.3620053411315337
34,34,BMS,random,3,34,0.3636670012749049
35,35,BMS,random,3,35,0.3609731361689711
36,36,BMS,random,3,36,0.397930871976618
37,37,BMS,random,3,37,0.3677932486545157
38,38,BMS,random,3,38,0.37022580875176386
39,39,BMS,random,3,39,0.3433037791442739
40,40,BMS,random,3,40,0.21990755980904284
41,41,BMS,random,3,41,0.21990755980904284
42,42,BMS,random,3,42,0.3651744494859315
43,43,BMS,random,3,43,0.2752068129382414
44,44,BMS,random,3,44,0.3814972327252465
45,45,BMS,random,3,45,0.2752068129382414
46,46,BMS,random,3,46,0.2752068129382414
47,47,BMS,random,3,47,0.29096565558003246
48,48,BMS,random,3,48,0.3632546105635011
49,49,BMS,random,3,49,0.2752068129382414
50,50,BMS,random,3,50,0.2752068129382414
51,51,BMS,random,3,51,0.2752068129382414
52,52,BMS,random,3,52,0.21990755980904117
53,53,BMS,random,3,53,0.3184192424164913
54,54,BMS,random,3,54,0.3191221219692633
55,55,BMS,random,3,55,0.29536775975949153
56,56,BMS,random,3,56,0.2788645852001729
57,57,BMS,random,3,57,0.28168845415852634
58,58,BMS,random,3,58,0.32860507487205864
59,59,BMS,random,3,60,0.3435384429894958
60,60,BMS,random,3,61,0.320030336561767
61,61,BMS,random,3,62,0.31587332039304
62,62,BMS,random,3,63,0.3115392647753362
63,63,BMS,random,3,64,0.21990755980904117
64,64,BMS,random,3,65,0.3365239042094653
65,65,BMS,random,3,66,0.23596894466152687
66,66,BMS,random,3,68,0.36736318057045997
67,67,BMS,random,3,69,0.21990755980904284
68,68,BMS,random,3,70,0.29395419226419045
69,69,BMS,random,3,71,0.25615688172967543
70,70,BMS,random,3,73,0.3093082989991126
71,71,BMS,random,3,74,0.3125031683585758
72,72,BMS,random,3,75,0.27367813759463666
73,73,BMS,random,3,76,0.29536775975949153
74,74,BMS,random,3,77,0.21990755980904117
75,75,BMS,random,3,78,0.40829004495916477
76,76,BMS,random,3,79,0.26858723081770663
77,77,BMS,random,3,80,0.27598301088784505
78,78,BMS,random,3,81,0.21990755980904117
79,79,BMS,random,3,82,0.2727239163466656
80,80,BMS,random,3,83,0.40953803321045884
81,81,BMS,random,3,84,0.21990755980904117
82,82,BMS,random,3,85,0.21990755980904117
83,83,BMS,random,3,86,0.3632546105635002
84,84,BMS,random,3,87,0.2946161644000749
85,85,BMS,random,3,88,0.31537183462014334
86,86,BMS,random,3,89,0.3469785036904261
87,87,BMS,random,3,90,0.2673273832724782
88,88,BMS,random,3,91,0.2679352932704209
89,89,BMS,random,3,92,0.27462527098836564
90,90,BMS,random,3,93,0.29536775975949153
91,91,BMS,random,3,94,0.2951026362749824
92,92,BMS,random,3,95,0.27017357039316436
93,93,BMS,random,3,96,0.3012506948728734
94,94,BMS,random,3,97,0.27126291328942176
95,95,BMS,random,3,98,0.29639132803896523
96,96,BMS,random,3,99,0.27695640339269134
97,97,BMS,random,3,100,0.2723819926209724
98,98,BMS,random,1,0,0.19718458621707227
99,99,BMS,random,1,1,0.31901734845607665
100,100,BMS,random,1,2,0.29903643806892344
101,101,BMS,random,1,3,0.21990755980904284
102,102,BMS,random,1,4,0.21990755980904284
103,103,BMS,random,1,5,0.21990755980904284
104,104,BMS,random,1,6,0.21990755980904284
105,105,BMS,random,1,7,0.21990755980904284
106,106,BMS,random,1,8,0.21990755980904284
107,107,BMS,random,1,9,0.21990755980904284
108,108,BMS,random,1,10,0.21990755980904284
109,109,BMS,random,1,11,0.21990755980904284
110,110,BMS,random,1,12,0.21990755980904284
111,111,BMS,random,1,13,0.21990755980904284
112,112,BMS,random,1,14,0.21990755980904284
113,113,BMS,random,1,15,0.21990755980904284
114,114,BMS,random,1,16,0.21990755980904284
115,115,BMS,random,1,17,0.21990755980904284
116,116,BMS,random,1,18,0.21990755980904284
117,117,BMS,random,1,19,0.21990755980904284
118,118,BMS,random,1,20,0.21990755980904284
119,119,BMS,random,1,21,0.21990755980904284
120,120,BMS,random,1,22,0.3502692576556344
121,121,BMS,random,1,23,0.21990755980904284
122,122,BMS,random,1,24,0.21990755980904284
123,123,BMS,random,1,25,0.21990755980904284
124,124,BMS,random,1,26,0.21990755980904284
125,125,BMS,random,1,27,0.21990755980904284
126,126,BMS,random,1,28,0.21990755980904284
127,127,BMS,random,1,29,0.21990755980904284
128,128,BMS,random,1,30,0.21990755980904284
129,129,BMS,random,1,31,0.21990755980904284
130,130,BMS,random,1,32,0.21990755980904284
131,131,BMS,random,1,33,0.21990755980904284
132,132,BMS,random,1,34,0.21990755980904284
133,133,BMS,random,1,35,0.21990755980904284
134,134,BMS,random,1,36,0.21990755980904284
135,135,BMS,random,1,37,0.21990755980904284
136,136,BMS,random,1,38,0.21990755980904284
137,137,BMS,random,1,39,0.21990755980904284
138,138,BMS,random,1,40,0.26591935174701276
139,139,BMS,random,1,41,0.2731774053936705
140,140,BMS,random,1,42,0.35019066782695524
141,141,BMS,random,1,43,0.3502203689820119
142,142,BMS,random,1,44,0.34979367480621776
143,143,BMS,random,1,45,0.35022057712790255
144,144,BMS,random,1,46,0.3502206730889942
145,145,BMS,random,1,47,0.3282777536484951
146,146,BMS,random,1,48,0.26591935174701276
147,147,BMS,random,1,49,0.21990755980904284
148,148,BMS,random,1,50,0.21990755980904284
149,149,BMS,random,1,51,0.21990755980904284
150,150,BMS,random,1,52,0.21990755980904284
151,151,BMS,random,1,54,0.21990755980904284
152,152,BMS,random,1,55,0.21990755980904284
153,153,BMS,random,1,56,0.21990755980904284
154,154,BMS,random,1,58,0.21990755980904284
155,155,BMS,random,1,59,0.21990755980904284
156,156,BMS,random,1,60,0.21990755980904284
157,157,BMS,random,1,61,0.21990755980904284
158,158,BMS,random,1,63,0.21990755980904284
159,159,BMS,random,1,64,0.23596894466152687
160,160,BMS,random,1,65,0.2723927512857855
161,161,BMS,random,1,66,0.276713440154713
162,162,BMS,random,1,67,0.2800468735916397
163,163,BMS,random,1,68,0.21990755980904284
164,164,BMS,random,1,69,0.21990755980904284
165,165,BMS,random,1,70,0.21990755980904284
166,166,BMS,random,1,71,0.33986369145273304
167,167,BMS,random,1,72,0.21990755980904284
168,168,BMS,random,1,73,0.30231744739697425
169,169,BMS,random,1,74,0.21990755980904284
170,170,BMS,random,1,75,0.21990755980904284
171,171,BMS,random,1,76,0.2911235504884122
172,172,BMS,random,1,77,0.2716827736816889
173,173,BMS,random,1,78,0.21990755980904284
174,174,BMS,random,1,79,0.27150157274199793
175,175,BMS,random,1,80,0.27274550318406293
176,176,BMS,random,1,81,0.2704784367716471
177,177,BMS,random,1,82,0.21990755980904284
178,178,BMS,random,1,83,0.2728504823217706
179,179,BMS,random,1,84,0.21990755980904284
180,180,BMS,random,1,85,0.3000869054033807
181,181,BMS,random,1,86,0.28582974558814406
182,182,BMS,random,1,87,0.21990755980904284
183,183,BMS,random,1,88,0.30251798913539524
184,184,BMS,random,1,89,0.3085557877240526
185,185,BMS,random,1,90,0.23596894466152687
186,186,BMS,random,1,91,0.26834489868747025
187,187,BMS,random,1,92,0.21990755980904284
188,188,BMS,random,1,93,0.28357789103948405
189,189,BMS,random,1,94,0.29596416614894894
190,190,BMS,random,1,95,0.23596894466152687
191,191,BMS,random,1,96,0.3284825037666266
192,192,BMS,random,1,97,0.267025764315677
193,193,BMS,random,1,98,0.33672351528967465
194,194,BMS,random,1,99,0.26579532146847595
195,195,BMS,random,1,100,0.2659114854409374
196,196,BMS,random,4,0,0.44718458621707385
197,197,BMS,random,4,1,0.41209855513276533
198,198,BMS,random,4,2,0.4339497203985774
199,199,BMS,random,4,3,0.4116340256556304
200,200,BMS,random,4,4,0.40255832242890127
201,201,BMS,random,4,5,0.4096915963026667
202,202,BMS,random,4,6,0.4220221584950974
203,203,BMS,random,4,7,0.39376679871451215
204,204,BMS,random,4,8,0.44718458621707546
205,205,BMS,random,4,9,0.3731105121429981
206,206,BMS,random,4,10,0.3731105121429981
207,207,BMS,random,4,11,0.3731105121429981
208,208,BMS,random,4,12,0.3731105121429981
209,209,BMS,random,4,13,0.3731105121429981
210,210,BMS,random,4,14,0.3731105121429981
211,211,BMS,random,4,15,0.3266224455618595
212,212,BMS,random,4,16,0.3731105121429981
213,213,BMS,random,4,17,0.3731105121429981
214,214,BMS,random,4,18,0.3266224455618595
215,215,BMS,random,4,19,0.35333324948877004
216,216,BMS,random,4,20,0.3731105121429981
217,217,BMS,random,4,21,0.3266224455618595
218,218,BMS,random,4,22,0.3731105121429981
219,219,BMS,random,4,23,0.3731105121429981
220,220,BMS,random,4,24,0.3266224455618595
221,221,BMS,random,4,25,0.3855257665500975
222,222,BMS,random,4,26,0.3266224455618595
223,223,BMS,random,4,27,0.3711666941237418
224,224,BMS,random,4,28,0.29536775975949175
225,225,BMS,random,4,29,0.38552575585589444
226,226,BMS,random,4,30,0.38671092412850233
227,227,BMS,random,4,31,0.3731105121429981
228,228,BMS,random,4,32,0.3711666941237418
229,229,BMS,random,4,33,0.29536775975949175
230,230,BMS,random,4,34,0.29536775975949175
231,231,BMS,random,4,35,0.29536775975949175
232,232,BMS,random,4,36,0.3266224455618595
233,233,BMS,random,4,37,0.3819737203299623
234,234,BMS,random,4,38,0.29536775975949175
235,235,BMS,random,4,39,0.3266224455618595
236,236,BMS,random,4,40,0.38552576714414527
237,237,BMS,random,4,41,0.41782873905342893
238,238,BMS,random,4,42,0.3819737203299623
239,239,BMS,random,4,43,0.36675356606917814
240,240,BMS,random,4,44,0.3960275920195917
241,241,BMS,random,4,45,0.29536775975949175
242,242,BMS,random,4,46,0.3819737203299623
243,243,BMS,random,4,47,0.29536775975949175
244,244,BMS,random,4,48,0.30231744739697536
245,245,BMS,random,4,49,0.3819737203299623
246,246,BMS,random,4,50,0.29536775975949175
247,247,BMS,random,4,51,0.3819737203299623
248,248,BMS,random,4,52,0.29536775975949175
249,249,BMS,random,4,53,0.29536775975949175
250,250,BMS,random,4,54,0.21990755980904284
251,251,BMS,random,4,55,0.29536775975949175
252,252,BMS,random,4,56,0.29536775975949175
253,253,BMS,random,4,57,0.29536775975949175
254,254,BMS,random,4,58,0.29536775975949175
255,255,BMS,random,4,59,0.29536775975949175
256,256,BMS,random,4,60,0.29536775975949175
257,257,BMS,random,4,61,0.29536775975949175
258,258,BMS,random,4,62,0.29536775975949175
259,259,BMS,random,4,63,0.21990755980904284
260,260,BMS,random,4,64,0.21990755980904284
261,261,BMS,random,4,65,0.21990755980904284
262,262,BMS,random,4,66,0.25246032540371083
263,263,BMS,random,4,67,0.21990755980904284
264,264,BMS,random,4,68,0.2984801718589676
265,265,BMS,random,4,70,0.21990755980904284
266,266,BMS,random,4,71,0.29536775975949175
267,267,BMS,random,4,72,0.29536775975949175
268,268,BMS,random,4,73,0.3051056700400899
269,269,BMS,random,4,74,0.26593604068122784
270,270,BMS,random,4,75,0.29536775975949175
271,271,BMS,random,4,76,0.29536775975949175
272,272,BMS,random,4,77,0.21990755980904284
273,273,BMS,random,4,78,0.23596894466152687
274,274,BMS,random,4,79,0.3531942095881864
275,275,BMS,random,4,80,0.2897408985400965
276,276,BMS,random,4,81,0.21990755980904284
277,277,BMS,random,4,82,0.29536775975949175
278,278,BMS,random,4,83,0.3531942095881864
279,279,BMS,random,4,84,0.29536775975949175
280,280,BMS,random,4,86,0.21990755980904284
281,281,BMS,random,4,87,0.2763220209979549
282,282,BMS,random,4,88,0.21990755980904284
283,283,BMS,random,4,90,0.21990755980904284
284,284,BMS,random,4,91,0.21990755980904284
285,285,BMS,random,4,92,0.23596894466152687
286,286,BMS,random,4,95,0.29536775975949175
287,287,BMS,random,4,96,0.21990755980904284
288,288,BMS,random,4,97,0.29536775975949175
289,289,BMS,random,4,99,0.27223199129964354
290,290,BMS,random,4,100,0.2738765547759211
291,291,BMS,random,2,0,0.42965683932293075
292,292,BMS,random,2,1,0.4323735233712292
293,293,BMS,random,2,2,0.3766909961094632
294,294,BMS,random,2,3,0.36551232723142485
295,295,BMS,random,2,4,0.3775431531239432
296,296,BMS,random,2,5,0.3731105121429981
297,297,BMS,random,2,6,0.2236179132330118
298,298,BMS,random,2,7,0.29903643806892394
299,299,BMS,random,2,8,0.29903643806892394
300,300,BMS,random,2,9,0.29903643806892394
301,301,BMS,random,2,10,0.29903643806892394
302,302,BMS,random,2,11,0.29903643806892394
303,303,BMS,random,2,12,0.29903643806892394
304,304,BMS,random,2,13,0.29903643806892394
305,305,BMS,random,2,14,0.29903643806892394
306,306,BMS,random,2,15,0.29903643806892394
307,307,BMS,random,2,16,0.29903643806892394
308,308,BMS,random,2,17,0.29903643806892394
309,309,BMS,random,2,18,0.29903643806892394
310,310,BMS,random,2,19,0.3731105121429981
311,311,BMS,random,2,20,0.3731105121429981
312,312,BMS,random,2,21,0.3731105121429981
313,313,BMS,random,2,22,0.3731105121429981
314,314,BMS,random,2,23,0.3731105121429981
315,315,BMS,random,2,24,0.21990755980904284
316,316,BMS,random,2,25,0.21990755980904284
317,317,BMS,random,2,26,0.21990755980904284
318,318,BMS,random,2,27,0.21990755980904284
319,319,BMS,random,2,28,0.21990755980904284
320,320,BMS,random,2,29,0.21990755980904284
321,321,BMS,random,2,30,0.21990755980904284
322,322,BMS,random,2,31,0.21990755980904284
323,323,BMS,random,2,32,0.21990755980904284
324,324,BMS,random,2,33,0.21990755980904284
325,325,BMS,random,2,34,0.21990755980904284
326,326,BMS,random,2,35,0.21990755980904284
327,327,BMS,random,2,36,0.21990755980904284
328,328,BMS,random,2,37,0.21990755980904284
329,329,BMS,random,2,38,0.21990755980904284
330,330,BMS,random,2,39,0.21990755980904284
331,331,BMS,random,2,40,0.21990755980904284
332,332,BMS,random,2,41,0.21990755980904284
333,333,BMS,random,2,42,0.21990755980904284
334,334,BMS,random,2,43,0.21990755980904284
335,335,BMS,random,2,44,0.21990755980904284
336,336,BMS,random,2,45,0.21990755980904284
337,337,BMS,random,2,46,0.21990755980904284
338,338,BMS,random,2,47,0.21990755980904284
339,339,BMS,random,2,48,0.21990755980904284
340,340,BMS,random,2,49,0.21990755980904284
341,341,BMS,random,2,50,0.21990755980904284
342,342,BMS,random,2,51,0.21990755980904284
343,343,BMS,random,2,52,0.21990755980904284
344,344,BMS,random,2,53,0.21990755980904284
345,345,BMS,random,2,54,0.21990755980904284
346,346,BMS,random,2,55,0.23596894466152687
347,347,BMS,random,2,56,0.21990755980904284
348,348,BMS,random,2,57,0.21990755980904284
349,349,BMS,random,2,58,0.21990755980904284
350,350,BMS,random,2,59,0.21990755980904284
351,351,BMS,random,2,60,0.21990755980904284
352,352,BMS,random,2,61,0.21990755980904284
353,353,BMS,random,2,62,0.21990755980904284
354,354,BMS,random,2,63,0.21990755980904284
355,355,BMS,random,2,64,0.21990755980904284
356,356,BMS,random,2,65,0.21990755980904284
357,357,BMS,random,2,66,0.23596894466152687
358,358,BMS,random,2,67,0.21990755980904284
359,359,BMS,random,2,68,0.21990755980904284
360,360,BMS,random,2,69,0.21990755980904284
361,361,BMS,random,2,70,0.21990755980904284
362,362,BMS,random,2,71,0.21990755980904284
363,363,BMS,random,2,72,0.23596894466152687
364,364,BMS,random,2,73,0.21990755980904284
365,365,BMS,random,2,74,0.21990755980904284
366,366,BMS,random,2,75,0.21990755980904284
367,367,BMS,random,2,76,0.3380490035794712
368,368,BMS,random,2,77,0.21990755980904284
369,369,BMS,random,2,78,0.21990755980904284
370,370,BMS,random,2,79,0.33254367461770334
371,371,BMS,random,2,80,0.2571619443886748
372,372,BMS,random,2,81,0.21990755980904284
373,373,BMS,random,2,82,0.27567961643142347
374,374,BMS,random,2,83,0.3700249425175648
375,375,BMS,random,2,84,0.21990755980904284
376,376,BMS,random,2,85,0.21990755980904284
377,377,BMS,random,2,86,0.21990755980904284
378,378,BMS,random,2,87,0.21990755980904284
379,379,BMS,random,2,88,0.21990755980904284
380,380,BMS,random,2,89,0.3705505938238741
381,381,BMS,random,2,90,0.21990755980904284
382,382,BMS,random,2,91,0.2763120856889906
383,383,BMS,random,2,92,0.21990755980904284
384,384,BMS,random,2,93,0.21990755980904284
385,385,BMS,random,2,94,0.21990755980904284
386,386,BMS,random,2,95,0.21990755980904284
387,387,BMS,random,2,96,0.23596894466152687
388,388,BMS,random,2,97,0.3255725004253019
389,389,BMS,random,2,98,0.21990755980904284
390,390,BMS,random,2,99,0.21990755980904284
391,391,BMS,random,2,100,0.26055407488156374
392,392,BMS,random,0,0,0.44334838431135093
393,393,BMS,random,0,1,0.31149015539763153
394,394,BMS,random,0,2,0.3731105121429981
395,395,BMS,random,0,3,0.3954164209357179
396,396,BMS,random,0,4,0.4177506966334197
397,397,BMS,random,0,5,0.424179548783772
398,398,BMS,random,0,6,0.4241795486299652
399,399,BMS,random,0,7,0.4264124496742088
400,400,BMS,random,0,8,0.4266572086218941
401,401,BMS,random,0,9,0.447178781302296
402,402,BMS,random,0,10,0.41200439809269523
403,403,BMS,random,0,11,0.4295852521022988
404,404,BMS,random,0,12,0.42442545632529705
405,405,BMS,random,0,13,0.4158798568471978
406,406,BMS,random,0,14,0.4158798568471978
407,407,BMS,random,0,15,0.41750178238459756
408,408,BMS,random,0,16,0.41396425391569824
409,409,BMS,random,0,17,0.4139642539156996
410,410,BMS,random,0,18,0.3273942219615152
411,411,BMS,random,0,19,0.3548193928723855
412,412,BMS,random,0,20,0.33969610579105786
413,413,BMS,random,0,21,0.34530380056833476
414,414,BMS,random,0,22,0.41516036660349576
415,415,BMS,random,0,23,0.34556449667305367
416,416,BMS,random,0,24,0.4069527341523323
417,417,BMS,random,0,25,0.37311051214299634
418,418,BMS,random,0,26,0.353194209588186
419,419,BMS,random,0,27,0.3601315367503653
420,420,BMS,random,0,28,0.21990755980904117
421,421,BMS,random,0,29,0.21990755980904284
422,422,BMS,random,0,30,0.21990755980904284
423,423,BMS,random,0,31,0.2879242883919952
424,424,BMS,random,0,32,0.3054081862503236
425,425,BMS,random,0,33,0.21990755980904284
426,426,BMS,random,0,34,0.41567170424165184
427,427,BMS,random,0,35,0.2925871048723816
428,428,BMS,random,0,36,0.29430698832574875
429,429,BMS,random,0,37,0.21990755980904284
430,430,BMS,random,0,38,0.21990755980904284
431,431,BMS,random,0,39,0.21990755980904284
432,432,BMS,random,0,40,0.21990755980904284
433,433,BMS,random,0,41,0.23596894466152687
434,434,BMS,random,0,42,0.23596894466152687
435,435,BMS,random,0,43,0.21990755980904284
436,436,BMS,random,0,44,0.4393239849879247
437,437,BMS,random,0,45,0.21990755980904284
438,438,BMS,random,0,46,0.2769974993537731
439,439,BMS,random,0,47,0.21990755980904284
440,440,BMS,random,0,48,0.21990755980904284
441,441,BMS,random,0,49,0.4067800885911753
442,442,BMS,random,0,50,0.21990755980904284
443,443,BMS,random,0,51,0.21990755980904284
444,444,BMS,random,0,52,0.2820302559134801
445,445,BMS,random,0,53,0.28754658117325177
446,446,BMS,random,0,54,0.3969943131758034
447,447,BMS,random,0,55,0.21990755980904284
448,448,BMS,random,0,56,0.4082118815480594
449,449,BMS,random,0,57,0.281536114080374
450,450,BMS,random,0,58,0.3402107627271484
451,451,BMS,random,0,59,0.3056273714864734
452,452,BMS,random,0,60,0.3051056700400899
453,453,BMS,random,0,61,0.2788881208936592
454,454,BMS,random,0,62,0.31130203928014183
455,455,BMS,random,0,63,0.3013784974763223
456,456,BMS,random,0,64,0.21990755980904284
457,457,BMS,random,0,65,0.28738299058687516
458,458,BMS,random,0,66,0.3658861218748873
459,459,BMS,random,0,67,0.21990755980904284
460,460,BMS,random,0,68,0.21990755980904284
461,461,BMS,random,0,69,0.2801756399433383
462,462,BMS,random,0,70,0.23596894466152687
463,463,BMS,random,0,71,0.2741204070431112
464,464,BMS,random,0,72,0.21990755980904284
465,465,BMS,random,0,73,0.21990755980904284
466,466,BMS,random,0,74,0.275539698143822
467,467,BMS,random,0,75,0.2691762881118392
468,468,BMS,random,0,76,0.27239275128578605
469,469,BMS,random,0,77,0.35807795875071974
470,470,BMS,random,0,78,0.29536775975949175
471,471,BMS,random,0,79,0.23596894466152687
472,472,BMS,random,0,80,0.29536775975949175
473,473,BMS,random,0,81,0.36119569957765557
474,474,BMS,random,0,82,0.32056460324251584
475,475,BMS,random,0,83,0.37609232725690006
476,476,BMS,random,0,84,0.29536775975949175
477,477,BMS,random,0,85,0.2681884258803516
478,478,BMS,random,0,86,0.23596894466152687
479,479,BMS,random,0,87,0.3000156231203428
480,480,BMS,random,0,88,0.34345294173155033
481,481,BMS,random,0,89,0.26887292146840663
482,482,BMS,random,0,90,0.29536775975949175
483,483,BMS,random,0,91,0.3531942095881864
484,484,BMS,random,0,92,0.27010245083279605
485,485,BMS,random,0,93,0.29536775975949175
486,486,BMS,random,0,94,0.3915635865075121
487,487,BMS,random,0,95,0.29536775975949175
488,488,BMS,random,0,96,0.29536775975949175
489,489,BMS,random,0,97,0.3531942095881864
490,490,BMS,random,0,98,0.3190905910016586
491,491,BMS,random,0,99,0.3866122761040661
492,492,BMS,random,0,100,0.34047070028959997
